Domain Name,Query Type,Count Add RR,Delta Time,Packet Number
 
File: AjoutDeFichiers/imgToDrive.pcapng
p29-docws.icloud.com,1,1,0.018,34
p29-docws.icloud.com,1,1,0.0,35
cws.icloud-content.com,1,1,0.594,61
cws.icloud-content.com,28,1,0.0,62
cws.icloud-content.com,1,1,0.0,63
cws.icloud-content.com,28,1,0.0,64
cws.icloud-content.com,28,1,0.292,65
cws.icloud-content.com,1,1,0.0,66
c33f3251-cba4-4c18-bf7d-1acf250a6c65.apple.com.v.aaplimg.com,28,1,0.001,67
cws.icloud-content.com,1,1,0.0,68
c33f3251-cba4-4c18-bf7d-1acf250a6c65.apple.com.v.aaplimg.com,28,1,0.005,69
cws.icloud-content.com,28,1,0.0,70
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.285,76
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.001,77
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.006,80
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,81
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.005,88
c.a.a.1.0.4.6.a.7.1.2.b.3.2.6.d.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,91
p29-setup.icloud.com,1,1,3.944,780
p29-setup.icloud.com,28,1,0.0,781
p29-setup.icloud.com,1,1,0.0,782
p29-setup.icloud.com,28,1,0.0,783
p29-setup.icloud.com,28,1,0.059,791
p29-setup.icloud.com,28,1,0.0,792
p29-setup.icloud.com,1,1,0.001,794
p29-setup.icloud.com,1,1,0.0,795
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.983,854
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,855
251.0.0.224.in-addr.arpa,12,0,0.0,856
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.001,857
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.0,858
251.0.0.224.in-addr.arpa,12,1,0.0,859
251.0.0.224.in-addr.arpa,12,1,0.06,860
251.0.0.224.in-addr.arpa,12,0,0.0,861
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,1,0.004,862
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.0,863
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,1,0.003,864
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.0,865
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,866
7.a.6.4.c.2.1.2.c.c.6.8.9.0.4.0.9.d.4.5.0.8.0.0.0.2.0.a.2.0.a.2.ip6.arpa,12,0,0.001,867
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.002,868
b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa,12,0,0.001,869
 
File: CasParticuliers/deleteFromPhone.pcapng
 
 
File: CasParticuliers/Linux_Wifi_pdfTo&OffDrive.pcapng
 
cws.icloud-content.com,1,1,20.146,222
cws.icloud-content.com,1,0,0.0,223
cws.icloud-content.com,1,0,0.036,224
cws.icloud-content.com,1,1,0.0,225
p29-docws.icloud.com,1,1,2.408,290
p29-docws.icloud.com,1,0,0.0,291
p29-setup.icloud.com,1,1,0.019,295
p29-setup.icloud.com,1,1,0.0,296
p29-docws.icloud.com,1,0,0.012,306
p29-docws.icloud.com,1,1,0.0,307
cvws.icloud-content.com,1,1,0.354,359
cvws.icloud-content.com,1,0,0.0,360
cvws.icloud-content.com,1,0,0.025,361
cvws.icloud-content.com,1,1,0.0,362
 
File: CasParticuliers/modifyFromPhone.pcapng
 
p72-ckdatabase.icloud.com,1,0,12.806,24
p72-ckdatabase.icloud.com,1,0,0.025,25
 
File: CasParticuliers/Linux_4G_PdfTo&OffDrive.pcapng
 
cws.icloud-content.com,1,1,5.133,17
cws.icloud-content.com,28,1,0.0,18
cws.icloud-content.com,1,1,0.0,19
cws.icloud-content.com,28,1,0.0,20
cws.icloud-content.com,1,1,0.294,21
cws.icloud-content.com,28,1,0.0,22
cws.icloud-content.com,1,1,0.0,23
3dbe324d-bd6a-4005-a3fd-a87445cbdaba.apple.com.v.aaplimg.com,28,1,0.0,24
3dbe324d-bd6a-4005-a3fd-a87445cbdaba.apple.com.v.aaplimg.com,28,1,0.005,25
cws.icloud-content.com,28,1,0.0,26
p29-setup.icloud.com,1,1,1.228,91
p29-setup.icloud.com,28,1,0.0,92
p29-setup.icloud.com,1,1,0.0,93
p29-setup.icloud.com,28,1,0.0,94
p29-setup.icloud.com,1,1,0.049,95
